movie_id,genres,avg_ratings,num_votes,region,category,artist_name,screen_time,movie_title,death_year,weighted_avg,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,foreign_gross,total_profit,roi
tt3152624,"Comedy,Drama,Romance",6.2,121860,TR,director,Judd Apatow,125.0,Trainwreck,,0.003335897928972862,36,2015-07-17,Trainwreck,35.0,110.2127,141.123897,2015,7,30.911197,106.123897,3.0321113428571427
tt3202120,Comedy,6.1,2301,FR,actor,Guillaume de Tonquédec,98.0,Barbecue,,6.197354568814555e-05,32,2014-12-26,Barbecue,10.0,0.000388,0.247565,2014,12,0.247177,-9.752435,-0.9752435
tt3300542,"Action,Thriller",5.9,124757,JP,actor,Morgan Freeman,99.0,London Has Fallen,,0.0032499510884472366,80,2016-03-04,London Has Fallen,60.0,62.52426,195.194085,2016,3,132.669825,135.194085,2.25323475
tt3518372,Sci-Fi,3.6,16,GB,actor,Mitchell Thornton,60.0,Earth,,2.543210885956344e-07,36,2009-04-22,Earth,47.0,32.011576,116.773317,2009,4,84.761741,69.773317,1.4845386595744683
tt4849438,"Action,Drama",8.3,65656,RO,director,S.S. Rajamouli,167.0,Baahubali 2: The Conclusion,,0.00240609296459254,55,2017-04-28,Baahubali 2: The Conclusion,30.0,18.985794,263.502914,2017,4,244.51711999999998,233.50291399999998,7.783430466666666
tt5083738,"Biography,Drama,History",7.6,116011,PE,actress,Rachel Weisz,119.0,The Favourite,,0.0038928946692520466,39,2018-11-23,The Favourite,15.0,34.366783,94.113929,2018,11,59.747146,79.113929,5.274261933333333
tt5112932,Action,6.4,5,US,actress,Jill Adler,47.0,Heist,,1.4128949366424134e-07,4,2001-11-09,Heist,35.0,23.483357,28.906817,2001,11,5.423459999999999,-6.093183,-0.17409094285714286
tt2531344,Comedy,6.2,57142,IL,actress,Leslie Mann,102.0,Blockers,,0.0015642530728489027,60,2018-04-06,Blockers,21.0,60.311495,94.045328,2018,4,33.733833,73.045328,3.4783489523809523
tt2582500,"Drama,Mystery,Thriller",4.7,11030,MX,actor,Oliver Platt,91.0,Shut In,,0.00022889339503274797,50,2016-11-11,Shut In,10.0,6.900335,11.360665,2016,11,4.460329999999999,1.3606649999999991,0.13606649999999992
tt3170832,"Drama,Thriller",8.2,316791,HR,actor,Sean Bridgers,118.0,Room,,0.011469555246768346,80,2015-10-16,Room,13.0,14.677674,36.262783,2015,10,21.585109,23.262783,1.7894448461538461
tt3416532,"Animation,Drama,Fantasy",7.5,70416,HU,actress,Sigourney Weaver,108.0,A Monster Calls,,0.002331806481061223,41,2017-01-06,A Monster Calls,43.0,3.740823,46.41453,2017,1,42.673707,3.414529999999999,0.07940767441860463
tt4056738,Drama,6.1,6462,CL,actress,Mira Sorvino,120.0,Do You Believe?,,0.00017404304747361868,60,2015-03-20,Do You Believe?,2.3,12.9856,14.304931,2015,3,1.319331,12.004931,5.2195352173913045
tt4062536,"Horror,Music,Thriller",7.0,90773,LT,actor,Patrick Stewart,95.0,Green Room,,0.002805528076834039,46,2016-04-15,Green Room,5.0,3.220371,3.807503,2016,4,0.587132,-1.192497,-0.23849939999999997
tt4263482,"Horror,Mystery",6.8,154278,PL,actress,Kate Dickie,92.0,The Witch,,0.004632045357000512,94,2016-02-19,The Witch,3.5,25.138705,40.45452,2016,2,15.315815,36.95452,10.558434285714286
tt4269194,"Animation,Drama",5.0,17,XWW,actress,Yoshino Kimura,111.0,Lost and Found,,3.75300217545641e-07,11,1999-04-23,Lost and Found,14.0,6.552255,6.552255,1999,4,0.0,-7.447745,-0.5319817857142858
tt5846676,Drama,6.4,516,LT,actor,Valentinas Krulikovskis,96.0,The Saint,,1.4581075746149705e-05,68,1997-04-04,The Saint,90.0,61.363304,169.4,1997,4,108.036696,79.4,0.8822222222222222
tt5891626,Drama,7.4,128,SE,actress,Maria Isabel Lopez,107.0,Ordinary People,,4.182169012461543e-06,18,1980-09-19,Ordinary People,6.0,52.302978,52.302978,1980,9,0.0,46.302978,7.717163
